2022-06-22,1641893,17774454,138393043,248853
2022-06-23,1641521,17804631,138472865,248954
2022-06-24,1641571,17833247,138640795,249030
2022-06-25,1641736,17845550,138717137,249105
2022-06-26,1641850,17863927,138783611,249160
2022-06-27,1642032,17871591,138844479,249239
2022-06-28,1642266,17875830,138897245,249305
2022-06-29,1642089,17922337,138951998,249378
2022-06-30,1642256,17965757,139077645,249479
2022-07-01,1642721,17977303,139332257,249564
2022-07-02,1643052,17984567,139469312,249634
2022-07-03,1643276,17988760,139559057,249715
2022-07-04,1643218,18020311,139624243,249807
2022-07-05,1643241,18029915,139692030,249879
2022-07-06,1643081,18063051,139747357,249974
2022-07-07,1642704,18073655,139807556,250095
2022-07-08,1641312,18082370,139858669,250168
2022-07-09,1639487,18126237,139905115,250237
